name,address,distance,distance_type,rating,capaciity,area,price
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"1,098,039"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"1,098,039"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"1,098,039"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"1,098,039"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Hanoi Daewoo Hotel,"Ba Dinh, Hanoi",4.2,km,7.9,1 adult,null,"1,858,673"
Shendo Apartment - Lancaster Hanoi,"Ba Dinh, Hanoi",3,km,7.3,1 adult,45m˝,"1,008,900"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Hanoi Daewoo Hotel,"Ba Dinh, Hanoi",4.2,km,7.9,1 adult,null,"1,858,673"
Shendo Apartment - Lancaster Hanoi,"Ba Dinh, Hanoi",3,km,7.3,1 adult,45m˝,"1,008,900"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Hanoi Daewoo Hotel,"Ba Dinh, Hanoi",4.2,km,7.9,1 adult,null,"1,858,673"
Shendo Apartment - Lancaster Hanoi,"Ba Dinh, Hanoi",3,km,7.3,1 adult,45m˝,"1,008,900"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
Sen Grand Hotel & Spa managed by Sen Group,"Cau Giay, Hanoi",5.3,km,8.5,1 adult,null,"1,058,400"
Rosy Old Quarter Homestay,"Hoan Kiem, Hanoi",0.6,km,8.5,1 adult,null,"525,690"
Hanoi Amore Hotel & Travel,"Thanh Xuan, Hanoi",5,km,9.4,1 adult,null,"903,000"
Thang Long Hotel,Hanoi,4.6,km,7.1,1 adult,null,"272,293"
Ibiz City Hostel,"Hoan Kiem, Hanoi",0.8,km,6.4,1 adult,null,"509,171"
LA house,"Hai Ba Trung, Hanoi",2.9,km,7.5,1 adult,null,"272,527"
Sunny Home Apartment,"Ba Dinh, Hanoi",4.3,km,8.9,1 adult,null,"931,500"
YR Hotel & Apartments,"Ba Dinh, Hanoi",3.8,km,9.1,1 adult,35m˝,"897,000"
Melia Hanoi,"Hoan Kiem, Hanoi",0.6,km,8.6,1 adult,null,"4,233,768"
Family Transit 2 Hotel,Hanoi,22.3,km,8,1 adult,null,"286,365"
Hanoi Veris Boutique Hotel & Spa,"Hoan Kiem, Hanoi",400,m,8.9,1 adult,null,"630,424"
Anstay C?n H? H?nh Ph£c 2 Ng? D'capital,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,900,000"
Anstay Ville T? Gi†c 4 Ng? Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,1 adult,null,"1,840,000"
New Era Hotel & Villa,"Long Bien, Hanoi",2.1,km,8.3,1 adult,null,"991,136"
Kh†ch S?n Sao,"Long Bien, Hanoi",2,km,8,1 adult,null,"600,000"
Lieber Hotel 2,Hanoi,9.3,km,7.6,1 adult,null,"403,162"
Azumaya Hotel Kim Ma 2,"Ba Dinh, Hanoi",4.4,km,8.3,1 adult,null,"1,930,500"
VÉn Là - Homestay Ocean,Hanoi,10.2,km,null,1 adult,null,"720,000"
H? Th?ng NhÖ Nh? Ng?c,"Dong Da, Hanoi",4.3,km,10,1 adult,null,"456,000"
Hyatt Regency West Hanoi,Hanoi,8.8,km,7.9,1 adult,null,"2,550,000"
Hanoi Morning Hotel,"Hoan Kiem, Hanoi",450,m,8.9,1 adult,null,"2,000,000"
Royal St Hanoi Hotel,"Cau Giay, Hanoi",5.5,km,8.5,1 adult,null,"795,067"
